date,Symbol,Open,High,Low,close,volume_usdt,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,zraw_close_60,ma30_raw,ma90_raw,vol_30mean,hv20_raw,RSI14_raw,Fear_idx
2022/1/9,BTCUSDT,41679.74,42786.7,41200.02,41864.62,952830064.5125848,752733,73.5,23,Extreme Fear,48205.82695,-6341.20695,-1.596085439,47161.307,55184.74766666667,1596628272.0918062,0.4332099354150692,17.786625850172896,0.23
2022/1/10,BTCUSDT,41864.62,42248.5,39650,41822.49,2088111339.5055964,1250983,74.1,23,Extreme Fear,48241.62395000001,-6419.13395,-1.56683948,46909.057,55027.25388888888,1619647828.8892791,0.39603226980916856,17.827769802211563,0.23
2022/1/11,BTCUSDT,41822.49,43100,41268.93,42729.29,1574803608.9600787,1015526,75.37,21,Extreme Fear,48297.34815,-5568.05815,-1.39039507,46664.903333333335,54864.61266666666,1629064086.4004636,0.40936770476550205,29.15495848267129,0.21
2022/1/12,BTCUSDT,42729.29,44322,42450,43902.66,1470906437.7120714,1023902,71.81,22,Extreme Fear,48355.443199999994,-4452.7832,-1.17601538,46571.567,54715.22066666666,1597298017.6311889,0.3818971689513691,38.9971896022153,0.22
2022/1/13,BTCUSDT,43902.65,44500,42311.22,42560.11,1515944525.4954946,1036234,67.51,21,Extreme Fear,48394.74205,-5834.63205,-1.394488919,46378.79466666667,54502.861666666664,1584915256.3985689,0.38988393455778925,31.503663773175347,0.21
2022/1/14,BTCUSDT,42558.35,43448.78,41725.95,43059.96,1392000443.3501673,946938,65.13,21,Extreme Fear,48437.5674,-5377.6074,-1.289378272,46185.294,54304.910444444446,1548414860.8738563,0.39648366979749655,36.762928804257996,0.21
2022/1/15,BTCUSDT,43059.96,43800,42555,43084.29,946488263.548448,752688,62.95,23,Extreme Fear,48473.4302,-5389.1402,-1.252944345,46033.691,54099.97666666667,1528257781.1903796,0.3937721401667296,27.792736806423974,0.23
2022/1/16,BTCUSDT,43084.29,43475,42581.79,43071.66,887203134.0531468,732171,62.22,21,Extreme Fear,48513.563500000004,-5441.9035,-1.227545825,45931.70633333333,53889.55244444445,1490632340.6749468,0.3940458893625172,28.968411597385085,0.21
2022/1/17,BTCUSDT,43071.66,43176.18,41540.42,42201.62,1169381684.4668436,918029,65.23,22,Extreme Fear,48557.04815,-6355.42815,-1.34864884,45777.27766666667,53644.23055555556,1490771558.9671469,0.341756480119534,28.88204938374797,0.22
2022/1/18,BTCUSDT,42201.63,42691,41250,42352.12,1228459687.3994458,905061,67.27,24,Extreme Fear,48599.876000000004,-6247.756,-1.283309196,45632.974,53381.46066666667,1485554928.6017027,0.33713687840862455,31.84885670262581,0.24
