date,Symbol,Open,High,Low,close,Volume USDT,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,ratio_ma200,zraw_close_60,zraw_close_120,ma30_raw,ma90_raw,ma30_90_diff,vol_30mean,tc_30mean,vol_spike_10,tc_spike_10,ret1_raw,ret3_raw,ret5_raw,hv20_raw,RSI14_raw,IV_pct,Fear_idx
2023-12-09,BTCUSDT,44171.0,44358.02,43584.51,43713.6,1096487106.5648336,987352,53.98,73.0,Greed,30166.5598,13547.0402,1.449074746667003,1.8668551909931972,2.3485007200547274,38621.27766666667,32544.502333333334,6076.775333333335,1432209396.2229884,1291042.0666666667,0.6038103841015882,0.6813082140065948,-0.010354986383596998,-0.0011217317765430668,0.0410205972217923,0.37083445181608315,80.31530744366323,0.5398,0.73
2023-12-10,BTCUSDT,43713.59,44049.0,43563.0,43789.51,830485162.5569534,830667,55.03,74.0,Greed,30253.8623,13535.647700000001,1.4474023040687933,1.825308629674414,2.2887435295607697,38837.54033333333,32751.468888888892,6086.071444444438,1406389929.1574168,1275473.3333333333,0.45996357446853725,0.5802822769429121,0.0017365305076681992,0.011932806355166248,-0.006439496729540584,0.37097405989410204,83.28113651915805,0.5503,0.74
2023-12-11,BTCUSDT,43789.5,43804.5,40222.0,41253.4,3205540835.5114336,2087142,55.59,74.0,Greed,30327.76035,10925.639650000001,1.3602521097473654,1.2297475376240274,1.7860341195799152,38974.986999999994,32922.72777777778,6052.259222222216,1484843803.2499995,1314268.0666666667,1.6362108810444382,1.4027808928029062,-0.05791592552645597,-0.06605217587380308,-0.05733856853863417,0.39635773147256614,66.90934295269071,0.5559000000000001,0.74
2023-12-12,BTCUSDT,41253.41,42104.12,40680.0,41492.39,1773961284.3375635,1526411,53.87,67.0,Greed,30401.6927,11090.6973,1.364805256386267,1.2590388391365694,1.7870445662487462,39122.59566666666,33092.39877777778,6030.1968888888805,1522123485.6233094,1338118.9333333333,0.8729357872639751,0.9930896707187175,0.005793219467971067,-0.05081279052743304,-0.04115139321990502,0.3683937577096686,65.94099758380305,0.5387,0.67
2023-12-13,BTCUSDT,41492.38,43475.2,40555.0,42869.03,1919703389.48488,1724659,53.46,65.0,Greed,30481.766500000005,12387.263499999994,1.4063827304759384,1.552612448557777,1.978177756997832,39336.132333333335,33274.024333333335,6062.108,1545845683.1960003,1355034.5333333334,0.9063059122677242,1.0817345219754384,0.033178132182793085,-0.021020559490161017,-0.029475454364957576,0.3795823023994436,69.4913593990877,0.5346,0.65
2023-12-14,BTCUSDT,42869.03,43420.0,41400.0,43022.26,1798740625.30166,1599536,53.13,72.0,Greed,30556.5528,12465.7072,1.4079552847990104,1.5611752684120057,1.9537083869779641,39585.16799999999,33456.493888888894,6128.674111111097,1551166011.2031624,1361538.1333333333,0.9133152247793016,1.0365881793631118,0.0035743752541170792,0.04287792036535176,-0.015815215402071536,0.37949154494294685,70.55890035900366,0.5313,0.72
2023-12-15,BTCUSDT,43022.26,43080.81,41666.0,41940.3,1416898938.5099788,1323628,54.15,70.0,Greed,30627.5723,11312.727700000003,1.3693641660263096,1.2679358188387666,1.7294340307196205,39721.238,33627.38977777778,6093.848222222216,1532954320.6031792,1354144.8333333333,0.7776048014480061,0.9015493024515411,-0.02514884155318664,0.010794991563513268,-0.04222952026638338,0.3959703804129226,62.52119676594615,0.5415,0.7
2023-12-16,BTCUSDT,41940.29,42724.43,41605.0,42278.03,1020469627.8857332,1180886,53.81,67.0,Greed,30700.490449999998,11577.539550000001,1.3771125275296703,1.3277771886365282,1.7478028237154897,39925.05533333333,33802.39555555555,6122.659777777779,1508819863.565531,1342092.8333333333,0.6008129339478031,0.844315740794497,0.008052636724105389,-0.013786176174268472,0.02483746794203623,0.3923723023973171,61.239720930824106,0.5381,0.67
2023-12-17,BTCUSDT,42278.02,42424.07,41252.0,41374.65,1161963642.9627964,1227634,54.6,73.0,Greed,30771.31195,10603.338050000002,1.3445851794434134,1.0775822410218823,1.564271827020547,40083.74633333333,33964.75266666667,6118.993666666662,1501177816.6245468,1338036.5666666667,0.721724062936021,0.8896425244885875,-0.02136759919986808,-0.03829668641303363,-0.002837628779638779,0.4026618667588157,55.41027573930797,0.546,0.73
2023-12-18,BTCUSDT,41374.64,42757.81,40542.93,42657.8,1936003306.0825727,1741647,56.02,65.0,Greed,30850.511300000002,11807.288700000001,1.3827258674964003,1.4001172592179651,1.7401961207345884,40286.73633333333,34136.392,6150.344333333327,1544896791.1764438,1369941.5333333334,1.1980030238154848,1.2239638858877033,0.03101295116695857,0.01710765063673847,-0.004927333321980809,0.411409551992177,52.726847360352814,0.5602,0.65
2023-12-19,BTCUSDT,42657.8,43497.0,41811.1,42275.99,1747830242.4615936,1609188,57.62,73.0,Greed,30925.678299999996,11350.311700000002,1.3670190056914613,1.2727792080361227,1.6425673633655884,40450.60733333333,34304.736333333334,6145.870999999999,1577106737.943925,1394834.4666666666,1.0396574678381736,1.0835262781322001,-0.00895053190741213,-4.8252011742300205e-05,-0.017346136627875985,0.41462329821818256,41.46107163116316,0.5761999999999999,0.73
